"ship","type","time","zone","length","breath","dwt","h_s","t_p","dir","h_sm","h_0","wind_speed","wind_dir","mov_avg","mov_max","mov_sig"
"Ship 26","General Cargo",11/23/15 11:00 AM,4,89.7,13.6,4135,3.07,9.91,335,0.22,3.08,4.34,174,0.32,0.77,0.5
"Ship 26","General Cargo",11/23/15 12:00 PM,4,89.7,13.6,4135,2.31,10.71,336,0.22,3.58,2.76,74,0.37,0.78,0.59
"Ship 26","General Cargo",11/23/15 01:00 PM,4,89.7,13.6,4135,2.38,10.08,334,0.22,3.74,5.47,47,0.29,0.66,0.45
"Ship 5","Bulkcarrier",12/07/15 11:00 AM,5,225,32.2,75399,2.08,11.87,304,0.29,2.98,35,189,0.12,0.31,0.19
"Ship 5","Bulkcarrier",12/07/15 12:00 PM,5,225,32.2,75399,2.08,12.39,307,0.28,3.23,47.48,200,0.13,0.28,0.21
"Ship 5","Bulkcarrier",12/07/15 01:00 PM,5,225,32.2,75399,2.08,12.41,302,0.29,3.28,54.86,208,0.13,0.26,0.18
"Ship 5","Bulkcarrier",12/07/15 02:00 PM,5,225,32.2,75399,2,12.43,298,0.28,3.09,56.24,208,0.1,0.23,0.16
"Ship 5","Bulkcarrier",12/08/15 03:00 AM,5,225,32.2,75399,2.25,12.02,298,0.23,2.9,17.33,221,0.11,0.31,0.17
"Ship 5","Bulkcarrier",12/08/15 04:00 AM,5,225,32.2,75399,1.9,11.82,301,0.22,2.4,16.9,227,0.12,0.36,0.19
"Ship 5","Bulkcarrier",12/08/15 05:00 AM,5,225,32.2,75399,1.85,11.15,300,0.19,1.86,20.13,230,0.08,0.16,0.12
"Ship 5","Bulkcarrier",12/08/15 06:00 AM,5,225,32.2,75399,1.91,11.65,299,0.21,1.45,17.04,237,0.1,0.32,0.17
"Ship 5","Bulkcarrier",12/08/15 07:00 AM,5,225,32.2,75399,2.27,11.08,297,0.21,1.28,17.82,226,0.11,0.3,0.19
"Ship 5","Bulkcarrier",12/08/15 08:00 AM,5,225,32.2,75399,1.89,10.83,300,0.17,1.36,15,254,0.12,0.24,0.18
"Ship 5","Bulkcarrier",12/08/15 09:00 AM,5,225,32.2,75399,2.09,10.72,301,0.22,1.68,17.76,244,0.08,0.18,0.12
"Ship 5","Bulkcarrier",12/09/15 10:00 AM,5,225,32.2,75399,3.17,12.37,311,0.27,1.67,6.02,127,0.14,0.31,0.23
"Ship 5","Bulkcarrier",12/09/15 11:00 AM,5,225,32.2,75399,2.91,10.78,307,0.28,2.23,21.04,140,0.14,0.44,0.24
"Ship 5","Bulkcarrier",12/09/15 12:00 PM,5,225,32.2,75399,2.8,11.74,312,0.33,2.79,17.84,159,0.12,0.33,0.2
"Ship 5","Bulkcarrier",12/09/15 01:00 PM,5,225,32.2,75399,2.86,12.22,315,0.31,3.2,3.36,257,0.14,0.39,0.24
"Ship 5","Bulkcarrier",12/09/15 02:00 PM,5,225,32.2,75399,2.71,11.08,312,0.33,3.35,1.46,233,0.16,0.48,0.26
"Ship 5","Bulkcarrier",12/09/15 03:00 PM,5,225,32.2,75399,2.91,11.14,315,0.33,3.21,1.59,268,0.15,0.34,0.24
"Ship 5","Bulkcarrier",12/09/15 04:00 PM,5,225,32.2,75399,2.78,11.28,315,0.3,2.79,1.68,142,0.13,0.36,0.21
"Ship 5","Bulkcarrier",12/10/15 09:00 AM,5,225,32.2,75399,2.68,11.08,319,0.21,0.92,11.59,198,0.12,0.38,0.19
"Ship 5","Bulkcarrier",12/10/15 10:00 AM,5,225,32.2,75399,2.51,10.84,314,0.24,1.27,13.09,220,0.11,0.26,0.18
"Ship 5","Bulkcarrier",12/10/15 11:00 AM,5,225,32.2,75399,2.48,11.05,317,0.23,1.84,10.33,260,0.1,0.19,0.15
"Ship 5","Bulkcarrier",12/10/15 12:00 PM,5,225,32.2,75399,2.46,11.06,312,0.26,2.48,10.91,277,0.13,0.25,0.2
"Ship 5","Bulkcarrier",12/10/15 01:00 PM,5,225,32.2,75399,2.69,11.01,317,0.3,3.05,7.06,231,0.13,0.27,0.21
"Ship 5","Bulkcarrier",12/10/15 02:00 PM,5,225,32.2,75399,2.28,10.99,309,0.24,3.4,4.7,278,0.11,0.27,0.17
"Ship 5","Bulkcarrier",12/11/15 12:00 AM,5,225,32.2,75399,2.16,10.94,308,0.27,2.39,13.82,142,0.13,0.28,0.19
"Ship 5","Bulkcarrier",12/11/15 01:00 AM,5,225,32.2,75399,2.46,10.79,308,0.27,3.06,14.17,147,0.08,0.19,0.14
"Ship 5","Bulkcarrier",12/11/15 02:00 AM,5,225,32.2,75399,2.39,10.73,309,0.26,3.52,18.54,150,0.16,0.46,0.25
"Ship 5","Bulkcarrier",12/11/15 03:00 AM,5,225,32.2,75399,2.22,10.1,309,0.35,3.66,18.32,146,0.16,0.41,0.25
"Ship 5","Bulkcarrier",12/11/15 04:00 AM,5,225,32.2,75399,2.53,10.6,311,0.26,3.44,17.45,142,0.2,0.39,0.3
"Ship 5","Bulkcarrier",12/11/15 05:00 AM,5,225,32.2,75399,2.14,9.98,312,0.23,2.91,10.97,138,0.14,0.42,0.25
"Ship 5","Bulkcarrier",12/11/15 06:00 AM,5,225,32.2,75399,2.43,10.92,313,0.2,2.2,8.95,158,0.18,0.38,0.27
"Ship 5","Bulkcarrier",12/11/15 08:00 AM,5,225,32.2,75399,2.12,10.67,312,0.21,0.95,14.73,142,0.12,0.33,0.19
"Ship 5","Bulkcarrier",12/11/15 09:00 AM,5,225,32.2,75399,2.13,10.8,319,0.2,0.76,11.55,142,0.11,0.23,0.18
"Ship 5","Bulkcarrier",12/11/15 10:00 AM,5,225,32.2,75399,2.21,10.26,311,0.17,0.93,11.59,134,0.1,0.31,0.17
"Ship 5","Bulkcarrier",12/11/15 11:00 AM,5,225,32.2,75399,2.26,10.16,315,0.2,1.41,11.04,139,0.13,0.3,0.22
"Ship 5","Bulkcarrier",12/11/15 12:00 PM,5,225,32.2,75399,2.16,10.58,318,0.21,2.08,5.85,158,0.13,0.27,0.21
"Ship 5","Bulkcarrier",12/11/15 01:00 PM,5,225,32.2,75399,2.58,10.18,323,0.22,2.77,7.65,117,0.22,0.47,0.32
"Ship 5","Bulkcarrier",12/11/15 02:00 PM,5,225,32.2,75399,2.73,11.92,318,0.27,3.28,11.48,38,0.23,0.42,0.35
"Ship 45","Bulkcarrier",01/11/16 06:00 PM,5,190,32.3,50779,3.54,12.3,302,0.27,3.35,41.77,287,0.3,0.97,0.59
"Ship 45","Bulkcarrier",01/11/16 07:00 PM,5,190,32.3,50779,3.54,12.3,302,0.24,2.58,38.19,290,0.27,0.71,0.48
"Ship 45","Bulkcarrier",01/11/16 08:00 PM,5,190,32.3,50779,3.52,12.3,303,0.29,1.74,35.7,289,0.3,0.82,0.51
"Ship 45","Bulkcarrier",01/11/16 09:00 PM,5,190,32.3,50779,3.5,12.3,304,0.29,1.06,31.02,287,0.25,0.71,0.44
"Ship 45","Bulkcarrier",01/11/16 10:00 PM,5,190,32.3,50779,3.43,12.3,305,0.39,0.74,24.52,261,0.27,0.6,0.47
"Ship 45","Bulkcarrier",01/11/16 11:00 PM,5,190,32.3,50779,3.33,12.3,307,0.29,0.86,24.99,233,0.25,0.69,0.46
"Ship 45","Bulkcarrier",01/12/16 12:00 AM,5,190,32.3,50779,3.19,12.3,307,0.32,1.36,28.55,230,0.2,0.52,0.33
"Ship 45","Bulkcarrier",01/12/16 01:00 AM,5,190,32.3,50779,3.06,12.3,308,0.26,2.12,28.77,229,0.2,0.54,0.34
"Ship 22","General Cargo",01/27/16 07:00 PM,4,106.1,15.5,6700,2.7,11.89,307,0.36,3.26,55.22,214,0.28,0.65,0.41
"Ship 22","General Cargo",01/27/16 08:00 PM,4,106.1,15.5,6700,2.45,10.29,303,0.3,2.67,53.59,214,0.29,0.51,0.46
"Ship 22","General Cargo",01/27/16 09:00 PM,4,106.1,15.5,6700,2.6,12.45,308,0.27,1.98,53.21,219,0.26,0.57,0.42
"Ship 31","General Cargo",02/02/16 11:00 AM,4,125.2,16.4,8049,3.6,13.69,314,0.4,2.69,18.61,230,1.12,2.04,1.62
"Ship 31","General Cargo",02/02/16 12:00 PM,4,125.2,16.4,8049,3.59,13.22,312,0.34,2.44,14.62,258,0.63,1.22,0.93
"Ship 31","General Cargo",02/02/16 01:00 PM,4,125.2,16.4,8049,3.81,13.58,313,0.34,2.13,17.55,273,0.55,1.47,1
"Ship 31","General Cargo",02/02/16 02:00 PM,4,125.2,16.4,8049,3.88,13.92,313,0.34,1.84,15.6,272,0.68,1.36,1.1
"Ship 31","General Cargo",02/02/16 03:00 PM,4,125.2,16.4,8049,3.62,12.99,313,0.33,1.62,19.16,280,0.73,1.41,1.21
"Ship 31","General Cargo",02/02/16 04:00 PM,4,125.2,16.4,8049,3.54,12.64,318,0.34,1.53,17.23,269,0.61,1.49,0.96
"Ship 31","General Cargo",02/02/16 05:00 PM,4,125.2,16.4,8049,3.51,11.75,315,0.33,1.59,14.01,244,0.63,1.72,1.12
"Ship 31","General Cargo",02/02/16 06:00 PM,4,125.2,16.4,8049,3.58,12.54,314,0.35,1.8,13.56,250,0.74,1.49,1.24
"Ship 31","General Cargo",02/02/16 07:00 PM,4,125.2,16.4,8049,3.68,12.24,320,0.31,2.07,18.28,185,0.77,1.34,1.15
